"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1505",2019-09-20,"006890","태경화학","-",5430,"251","21.63","9,310","0.58",150,2.76,1505,NA
"1506",2019-09-20,"007160","사조산업","-",42550,"7,202","5.91","83,527","0.51",250,0.59,1506,NA
"1507",2019-09-20,"007210","벽산","-",2140,"136","15.74","3,463","0.62",15,0.7,1507,NA
"1508",2019-09-20,"007340","디티알오토모티브","-",30500,"6,391","4.77","54,280","0.56",1000,3.28,1508,NA
"1509",2019-09-20,"007590","동방아그로","-",6730,"529","12.72","9,730","0.69",250,3.71,1509,NA
"1510",2019-09-20,"007610","선도전기","-",4000,"-","-","4,648","0.86",20,0.5,1510,NA
"1511",2019-09-20,"007660","이수페타시스","-",4595,"-","-","4,303","1.07",70,1.52,1511,NA
"1512",2019-09-20,"007810","코리아써키트","-",5070,"-","-","12,117","0.42",0,0,1512,NA
"1513",2019-09-20,"007815","코리아써우","-",2430,"-","-","-","-",0,0,1513,NA
"1514",2019-09-20,"00781K","코리아써키트2우B","-",3950,"-","-","-","-",0,0,1514,NA
"1515",2019-09-20,"007860","서연","-",3755,"-","-","20,398","0.18",50,1.33,1515,NA
"1516",2019-09-20,"007980","태평양물산","-",2960,"213","13.9","2,971","1",20,0.68,1516,NA
"1517",2019-09-20,"00806K","대덕전자1우","-",6270,"-","-","-","-",305,4.86,1517,NA
"1518",2019-09-20,"008260","NI스틸","-",2525,"358","7.05","3,717","0.68",50,1.98,1518,NA
"1519",2019-09-20,"008350","남선알미늄","-",3845,"228","16.86","1,527","2.52",0,0,1519,NA
"1520",2019-09-20,"008420","문배철강","-",2925,"262","11.16","5,365","0.55",50,1.71,1520,NA
"1521",2019-09-20,"008490","서흥","-",32600,"2,303","14.16","23,650","1.38",350,1.07,1521,NA
"1522",2019-09-20,"008500","일정실업","-",19200,"-","-","35,720","0.54",0,0,1522,NA
